query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map,latency_ms
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.01919999415986
3,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,353.79050000483403
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,350.61080000014044
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.1736000026576
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.8013999988907
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.4383999952697
48,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,344.3221999987145
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.490099999879
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,344.7207999997772
51,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,361.24269999709213
53,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25,364.6994000009727
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.6697000042186
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,381.9671999954153
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.66490000282647
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,349.23410000192234
72,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,363.90180000307737
75,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,360.3702999971574
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.1178000001819
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,354.774899999029
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,354.6820999981719
113,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,356.0963999989326
115,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,351.52260000177193
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,348.5722999976133
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351.127699999779
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.26259999966715
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.5184000002919
129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,352.75369999726536
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,368.3536999960779
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.16390000336105
133,0.0,0.0,0.4,0.125,0.0,0.20503241819862084,0.065,368.106900001294
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,354.6612999998615
141,0.5,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546,0.7,356.06879999977536
142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,399.4059999968158
143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,362.6444000037736
146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.76240000088
148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,341.4069999998901
163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,358.4545999983675
171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,356.4609999957611
179,0.0,0.0,0.25,0.1,0.0,0.11284514134893527,0.025,348.8047999999253
180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.9602999970084
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.7238999963156
185,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,402.92110000154935
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.2844999972731
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.49369999434566
212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,347.25089999847114
213,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,358.118199997989
216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,362.6970999976038
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,346.67389999958687
218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,358.65000000194414
219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.8713000016287
230,1.0,1.0,1.0,1.0,1.0,1.0,1.0,356.66260000289185
232,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5,362.48260000138544
233,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,349.36559999914607
236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,363.55010000261245
237,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,353.61900000134483
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.7681999981287
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9258999967715
248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,350.33739999926183
249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,357.3386999996728
261,0.0,0.5,0.5,0.25,0.2640681225725909,0.2640681225725909,0.125,355.9804000033182
268,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,364.88960000133375
269,0.0,1.0,1.0,0.2,0.38685280723454163,0.38685280723454163,0.2,338.28429999994114
274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.9557999987155
275,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.46927872602275644,0.3333333333333333,387.00100000278326
279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,349.8552000019117
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.52399999811314
295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,371.05139999766834
298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,355.45709999860264
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.8228999991552
303,0.0,0.0,1.0,0.16666666666666666,0.0,0.3562071871080222,0.16666666666666666,363.90570000367006
312,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285,374.3638999949326
314,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,375.75749999814434
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.9711999971187
327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,357.9671999978018
338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,346.7011000029743
343,0.5,1.0,1.0,0.5,0.6509209298071326,0.6509209298071326,0.5,365.10099999577506
350,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,362.14299999846844
354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,363.36109999683686
362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,363.95679999986896
380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.21549999533454
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.7695999997086
385,0.5,0.5,0.5,0.5,0.38685280723454163,0.38685280723454163,0.25,349.46660000423435
386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,368.7610000051791
