document_id,title
4983,Microstructural development of human newborn cerebral white matter assessed in vivo by diffusion tensor magnetic resonance imaging.
5836,Induction of myelodysplasia by myeloid-derived suppressor cells.
7912,"BC1 RNA, the transcript from a master gene for ID element amplification, is able to prime its own reverse transcription."
18670,The DNA Methylome of Human Peripheral Blood Mononuclear Cells
19238,The human myelin basic protein gene is included within a 179-kilobase transcription unit: expression in the immune and central nervous systems.
33370,Targeting A20 Decreases Glioma Stem Cell Survival and Tumor Growth
36474,Efficient targeting of expressed and silent genes in human ESCs and iPSCs using zinc-finger nucleases
54440,Empirical Bayesian models for analysing molecular serotyping microarrays
70115,Bayesian measures of model complexity and fit
70490,Simplifying likelihood ratios
72159,induction of early IFN-inducible genes in the absence of type
79447,Arteriolar function in visceral adipose tissue is impaired in human obesity.
87758,Common Carotid Intima Media Thickness and Ankle-Brachial Pressure Index Correlate with Local but Not Global Atheroma Burden: A Cross Sectional Study Using Whole Body Magnetic Resonance Angiography
92308,Loss of immune escape mutations during persistent HCV infection in pregnancy enhances replication of vertically transmitted viruses
92499,The journey of developing hematopoietic stem cells.
97884,The sacroiliac joint in the spondyloarthropathies.
102662,A rapid method for extraction of cotton (Gossypium spp.) genomic DNA suitable for RFLP or PCR analysis
103007,"Cross sectional stature and weight reference curves for the UK, 1990."
104130,The suture provides a niche for mesenchymal stem cells of craniofacial bones
106301,Cardiac neural crest cells contribute to the dormant multipotent stem cell in the mammalian heart
116792,The mammalian target of rapamycin signaling pathway mediates epileptogenesis in a model of temporal lobe epilepsy.
118568,Acute administration of recombinant Angiopoietin-1 ameliorates multiple-organ dysfunction syndrome and improves survival in murine sepsis.
120626,Mechanisms linking obesity to insulin resistance and type 2 diabetes
123859,Tracking the fate of glomerular epithelial cells in vivo using serial multiphoton imaging in novel mouse models with fluorescent lineage tags
140874,CTCF binding at the H19 imprinting control region mediates maternally inherited higher-order chromatin conformation to restrict enhancer access to Igf2.
143251,De novo assembly of a PML nuclear subcompartment occurs through multiple pathways and induces telomere elongation.
152245,Effects of an opal termination codon preceding the nsP4 gene sequence in the O'Nyong-Nyong virus genome on Anopheles gambiae infectivity.
153744,Down-regulation of a host microRNA by a Herpesvirus saimiri noncoding RNA.
159469,HTRF: A Technology Tailored for Drug Discovery –A Review of Theoretical Aspects and Recent Applications
164189,Chk1 inhibits replication factory activation but allows dormant origin firing in existing factories
164985,Fra-1 protooncogene regulates IL-6 expression in macrophages and promotes the generation of M2d macrophages
169264,Analysis of SiO2 nanoparticles binding proteins in rat blood and brain homogenate
175735,Inferring nucleosome positions with their histone mark annotation from ChIP data
188911,Generation of large numbers of dendritic cells from mouse bone marrow cultures supplemented with granulocyte/macrophage colony-stimulating factor
195352,Insulin action and resistance in obesity and type 2 diabetes
202259,Effect of lowering blood pressure on cardiovascular events and mortality in patients on dialysis: a systematic review and meta-analysis of randomised controlled trials
207972,Interaction of an adenovirus E3 14.7-kilodalton protein with a novel tumor necrosis factor alpha-inducible cellular protein containing leucine zipper domains.
